country,country_code,govt_health_exp,comp_educ,mmr,gdp,gdp_per_capita,private_health_exp,oop_health_exp,fertility_rate,sab,num_physicians,total_health_exp,rule_of_law,female_pop
"Egypt, Arab Rep.",EGY,34.22272246,12,19,262588632526.73,2531.20007864537,85.21002479,75.27230052,3.098,NA,0.73,120.22325897,-0.30214911699295,31578527
El Salvador,SLV,188.48927998,15,45,26020850000,4145.86235103186,156.05905708,129.76972601,1.849,99.9,2.936,345.1499939,-0.930241405963898,2179424
Equatorial Guinea,GNQ,54.43796369,6,219,13097012124.2267,8719.18686965483,209.75778582,203.28881602,4.513,NA,NA,270.56484985,-1.42432010173798,392622
Eritrea,ERI,3.75059731,8,338,NA,NA,11.7502838,11.7502838,4.056,NA,0.081,24.03133392,-1.62014710903168,961275
Estonia,EST,1143.16687864,9,5,30624720196.229,23165.8494786437,409.89922151,383.15060114,1.67,99.6,3.483,1553.43359375,1.20360350608826,422704
Eswatini,SWZ,140.54393258,7,218,4666598024.18411,4021.4455564534,64.46055929,29.50183322,2.962,NA,0.24,291.17224121,-0.276786595582962,350203
Ethiopia,ETH,5.53186576,8,312,84269196625.8784,758.29769449458,9.69405805,8.46310315,4.343,NA,0.076,23.84538269,-0.445004612207413,31021596
Faroe Islands,FRO,NA,9,NA,3188600927.46688,62576.8016380509,NA,NA,2.501,NA,NA,NA,NA,14839
Fiji,FJI,148.99217242,NA,37,5581425324.91185,6073.39457942347,62.28884125,29.99529898,2.53,NA,NA,215.84040833,0.17677891254425,296116
Finland,FIN,3551.94916025,10,8,275708001767.843,49987.6261584968,969.37319864,833.34379062,1.41,99.6,3.48,4521.50244141,2.0346474647522,1691241
France,FRA,3538.18118631,10,8,2790956878746.66,41557.8548588876,1130.7012509,443.8708054,1.87,98.1,3.276,4668.88085938,1.39610087871552,21043474
French Polynesia,PYF,NA,NA,NA,6135116253.33452,20614.8943681731,NA,NA,1.789,NA,NA,NA,NA,100950
Gabon,GAB,123.77542125,10,229,16867326401.9626,7694.90605067973,84.86812488,48.82303796,3.679,NA,0.624,211.22572327,-0.720236599445343,628691
"Gambia, The",GMB,7.30747043,9,512,1670671327.81651,683.324632754874,6.74896778,5.12706745,4.972,82.7,0.122,22.84936142,-0.455911904573441,657808
Georgia,GEO,130.95942962,9,26,17596922469.9152,4722.0424231414,199.13035399,158.19502614,2.114,99.8,7.555,331.86633301,0.270468592643738,1264210
Germany,DEU,4251.8416085,13,5,3974443355019.6,47939.2782884504,1252.14090103,726.22546158,1.57,96.2,4.311,5503.99707031,1.59134912490845,26508363
Ghana,GHA,29.23066732,11,273,67298913752.0241,2180.02968425645,36.73022996,27.71892241,3.731,78.9,0.143,74.12649536,0.05157820135355,9111546
Gibraltar,GIB,NA,10,NA,NA,NA,NA,NA,1.879,NA,NA,NA,NA,10201
Greece,GRC,836.2424723,10,6,212049447242.111,19756.990456255,764.69926204,578.39164291,1.35,99.9,6.161,1603.07788086,0.112756364047527,3465200
Greenland,GRL,NA,10,NA,3055782146.15957,54545.135857765,NA,NA,2,NA,NA,NA,1.70172333717346,18633
Grenada,GRD,178.60747088,12,21,1166514814.81481,9574.3102711372,259.15323082,241.01250467,2.063,NA,1.314,438.918396,0.249573826789856,39954
Guam,GUM,NA,0,NA,6056000000,35902.725903793,NA,NA,2.671,NA,NA,NA,1.29671347141266,51980
Guatemala,GTM,95.69246233,16,98,73328365862.4329,4485.75213495073,165.58418561,152.80567017,2.743,NA,0.363,265.74734497,-1.07546639442444,5051077
Guinea,GIN,5.83084378,6,568,11857030367.2441,944.417268657317,25.66494527,23.6961686,4.669,55.3,0.222,35.30638123,-1.23089265823364,3485629
Guinea-Bissau,GNB,4.32780664,9,648,1504630233.68158,781.644367625001,39.94356122,38.10495155,4.263,NA,0.165,59.61203003,-1.26575613021851,548531
Guyana,GUY,179.89072611,6,118,4787637005.53562,6094.90983678918,109.6104408,100.83728086,2.462,95.1,1.804,298.95074463,-0.383601844310761,262031
Haiti,HTI,7.56501107,6,359,16403864522.0538,1489.57840624271,29.11010667,24.09662612,2.959,NA,0.237,62.0178251,-1.06164228916168,3465677
Honduras,HND,70.01760376,12,65,24067750760.499,2457.6860424186,102.37444106,92.63237365,2.46,NA,NA,177.64666748,-1.05718719959259,3100917
"Hong Kong SAR, China",HKG,NA,9,NA,361731070995.726,48537.5668888343,NA,NA,1.08,NA,NA,NA,1.72961246967316,2895344
Hungary,HUN,747.29234528,13,15,160565642983.587,16425.2050299693,332.54733077,289.44059401,1.55,NA,3.384,1079.83935547,0.554466903209686,3247310
Iceland,ISL,5135.58013192,10,3,26260850582.0687,74452.1890731447,1098.33468186,993.50347482,1.71,98.2,3.891,6233.91552734,1.67916393280029,113471
