Country Name,comp_qual_log,ship_freq,track_trace_log,infra_qual,log_perf_ind,customs_eff,comp_priced_ship,rule_of_law,political_stability,corr_control,voice_account,govt_eff,reg_qual,legal_rights_ind,food_imp,credit_bureau_covg,fem_sec_educ,fem_prim_educ,prim_compl_fem,enroll_sec_fem_gross,fem_prim_teachers,pupil_teach_ratio_prim,emp_to_pop_ratio_15_plus,external_bal_goods,consump_exp,account_balance,export_good_services,external_health_exp,out_of_pocket_health_exp,dom_govt_health_exp,crop_prod_ind,food_prod_ind,repeaters_female_prim,export_val_ind,goods_exports,goods_imports,mmr,gdp,women_hiv,skilled_health_staff
Libya,2.05,2.77,1.64,2.25,2.11,1.95,1.99,-1.69031953811646,-2.43496870994568,-1.53013646602631,-1.53367853164673,-1.68523025512695,-2.21521806716919,0,26.2829514153415,0,NA,NA,NA,NA,NA,NA,NA,15.4458752372846,69.4203617138561,14.7041087924816,39.6135044170514,NA,NA,NA,100.85,103.27,NA,261.8504213185,29830400000,13786200000,69,76686048499.3527,36.9,NA
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,1.63483166694641,1.45358550548553,1.95854675769806,1.29667818546295,1.68902397155762,1.52256798744202,3,NA,0,NA,NA,118.75,104.070198059082,78.9883270263672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6692618410.5125,NA,NA
Lithuania,2.96,3.65,3.12,2.73,3.02,2.85,2.79,0.923340857028961,0.729063928127289,0.46633306145668,0.901689648628235,1.03165376186371,1.09371483325958,6,11.6991696886547,96.8,NA,NA,104.464637756348,106.193626403809,96.8003768920898,NA,53.47,1.81602965126439,77.8276219039317,0.229385319103767,75.2054048902229,0.31288689,31.51578522,12.67734814,75.33,83.23,NA,131.2867684017,28955487005.7667,32322643693.3985,8,53751411409.4437,22.3,100
Luxembourg,3.76,3.9,3.61,3.63,3.63,3.53,3.37,1.76834964752197,1.34725511074066,2.04786849021912,1.54260861873627,1.73642694950104,1.7491340637207,3,12.405002913907,0,NA,NA,75.9135665893555,108.786758422852,75.8796081542969,NA,52.52,32.5787704309917,50.3765412792074,3.73116137472709,197.501337465788,1.41230023,10.47403049,10.6023798,103.18,111.03,NA,95.7579941115,28272900681.1662,26233452876.0014,7,71000359760.4599,28.7,NA
"Macao SAR, China",NA,NA,NA,NA,NA,NA,NA,0.971920669078827,1.22957813739777,0.675081074237823,-0.0683546885848045,1.15808200836182,1.60642433166504,NA,16.3968373621306,NA,48.80025,48.17859,84.4800033569336,93.8029174804688,82.2371368408203,13.49843,NA,49.4291738650139,33.3526036169874,33.0034017299807,82.5299193561036,NA,NA,NA,102.77,91.7,1.29343,112.7971567403,1969165074.37213,12803237250.1539,NA,55284309690.2698,NA,NA
Madagascar,2.33,2.73,2.61,2.16,2.39,2.32,2.19,-0.836624085903168,-0.578839123249054,-1.02054178714752,-0.321327120065689,-1.21207213401794,-0.785894691944122,2,17.5646906372743,0,50.99791,49.79428,65.8189315795898,36.7167587280273,53.4959907531738,39.81169,NA,-4.76945735941741,85.6233509126556,0.712560880242075,31.5360236543653,29.53611565,28.99009705,10.47741127,102.05,100.53,24.84218,151.8355351048,3035724609.31613,3493261049.59782,423,13760033282.6071,54.7,46.1
Malawi,2.68,2.97,2.67,2.18,2.59,2.43,2.55,-0.405376076698303,-0.431270897388458,-0.765652000904083,-0.0756177753210068,-0.801292061805725,-0.723060786724091,11,10.3285910360541,30,49.53251,49.94967,NA,37.5991897583008,44.025520324707,58.67919,NA,NA,NA,-17.0402517560956,NA,57.43753433,12.8176527,8.66773891,115.07,124.23,NA,81.4714986903,945381810.845587,2603735395.24194,392,9880675785.93057,60.6,NA
Malaysia,3.3,3.46,3.15,3.15,3.22,2.9,3.35,0.529128134250641,0.247989401221275,0.300330877304077,-0.100061126053333,1.05384254455566,0.575907409191132,7,7.44824533588816,86.6,51.27877,NA,93.2963485717773,82.911003112793,69.3993682861328,NA,53.23,6.7073173372457,69.395262701878,2.23708214546085,68.554971419686,0,36.64058304,8.45166874,103.28,100.67,NA,123.7575547447,205655448513.781,177229630861.575,22,358788833524.945,19.9,99.6
Maldives,2.29,3.32,2.6,2.72,2.67,2.4,2.66,-0.55726546049118,0.0829711183905602,-0.875025868415833,-0.675655543804169,-0.492414593696594,-0.531163573265076,2,17.2585559308763,0,NA,NA,95.9162292480469,78.6036529541016,70.755126953125,NA,NA,-13.6061838635683,61.8257375233021,-28.3444983487589,70.1131851868006,1.17921603,19.77984238,17.67908669,100.9,100.68,NA,141.5171664752,339229050.537794,2764166647.41204,49,5300949822.99805,19.2,NA
Mali,2.45,2.83,3.08,2.3,2.59,2.15,2.7,-0.815356373786926,-2.08446145057678,-0.711567580699921,-0.327701359987259,-1.02598321437836,-0.600795805454254,6,14.6304765515477,1.6,44.99883,46.5862,NA,35.113208770752,31.6866493225098,37.82669,50.79,-11.100034000424,90.6417313973098,-4.89872553731291,24.5223744016967,34.99575043,32.55354309,5.66878557,125.12,123.8,NA,131.9067117249,3585281659.26705,3968039181.23072,440,17070867577.6666,53.9,67.3
Malta,2.8,3.01,2.8,2.9,2.81,2.7,2.7,1.01952743530273,1.27142131328583,0.547609329223633,1.100830078125,0.931033909320831,1.32744300365448,2,12.2188324925601,0,NA,NA,100.151672363281,104.604400634766,NA,NA,47.85,18.1492903843625,61.9712622482225,5.67588166689264,162.796350797429,0.01622057,34.29564285,15.1826725,65.69,80.8,NA,122.4423932293,3777857699.17837,5532749504.5834,4,15298004130.4975,23.1,99.7
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,0.163996770977974,0.998590290546417,0.348221093416214,1.12343680858612,-0.182951793074608,-0.797005653381348,10,NA,0,NA,NA,NA,NA,NA,NA,NA,-49.3082351138899,133.55906593845,24.1787188229867,39.8470252400147,46.48692322,1.09066844,12.2647419,80,80,NA,78.9569973241,85995959.1811202,118971696.565473,NA,219330300,NA,NA
Mauritania,2.19,2.68,2.47,2.26,2.33,2.2,2.19,-0.707490384578705,-0.632418096065521,-0.812102079391479,-0.86835104227066,-0.825167000293732,-0.865196943283081,2,18.2390093894863,0,49.75324,50.70468,72.1120223999023,34.6797714233398,33.4431915283203,34.27814,NA,-15.9742286909273,69.5245156722083,-13.0177274187857,36.5862504012937,9.28334332,45.92919159,6.97639227,121.48,107.07,1.7824,112.0175113301,1895040485.39489,2601454256.29344,461,7473550557.07378,46.4,NA
