Country Name,MMR,GDP,fertility_rate,SAB,private_health_exp,govt_health_exp,tertiary_school_enroll,female_pop,num_physicians
Honduras,65,24067750465.9361,2.46,NA,102.37444106,70.01760376,30.4485702514648,3100917,NA
"Hong Kong SAR, China",NA,361731070995.726,1.08,NA,NA,NA,88.0230484008789,2895344,NA
Hungary,15,160565642983.587,1.55,NA,332.54733077,747.29234528,56.4620208740234,3247310,3.4075
Iceland,3,26260850582.0687,1.71,98.2,1098.33468186,5135.58013192,91.5173492431641,113471,4.0778
India,116,2702929639861.5,2.177,NA,37.64879148,19.7877575,28.1471900939941,440078207,0.6857
Indonesia,181,1042271532953.36,2.234,93.6,56.98319786,54.47545987,39.5933685302734,88692221,0.4241
"Iran, Islamic Rep.",17,327900695065.853,1.968,NA,250.09259522,212.50402083,59.2606010437012,29241447,1.5844
Iraq,72,227367469034.031,3.659,95.6,116.43687044,109.1070801,NA,11745458,0.7079
Ireland,5,385736680797.111,1.75,NA,1418.98327729,4065.23517923,NA,1603131,3.3125
Isle of Man,NA,7491654051.08011,1.621,NA,NA,NA,NA,26522,NA
Israel,3,376691526553.276,3.09,NA,1093.05607038,2082.00685773,67.3573684692383,2669601,3.5303
Italy,5,2091932426266.94,1.29,99.9,784.88844766,2217.87267491,75.0689468383789,19343107,3.9636
Jamaica,91,15730791525.65,1.388,99.7,111.31488802,217.55883592,NA,1010755,0.5268
Japan,5,5040880939324.86,1.42,99.9,695.90117094,3592.09517323,61.2958488464355,36872983,2.4796
Jordan,42,43370860704.2254,2.973,99.7,150.36353079,157.43699828,36.1511497497559,3094375,NA
Kazakhstan,14,179339977517.062,2.84,99.9,106.3381486,165.84328838,58.8576850891113,6087722,3.9781
Kenya,512,92202979940.671,3.58,NA,26.28071891,32.61632539,15.0326347351074,14409591,0.1565
Kiribati,110,196501504.185186,3.41,NA,5.11883222,142.54068883,NA,38478,NA
"Korea, Dem. People's Rep.",107,NA,1.845,NA,NA,NA,18.3029003143311,8893143,NA
"Korea, Rep.",6,1724845615629.26,0.977,NA,1046.36124806,1472.36899478,83.1325073242188,18296178,2.4082
Kosovo,NA,7878762812.20156,1.605,NA,NA,NA,NA,603006,NA
Kuwait,7,138202309918.726,2.165,99.9,195.50792993,1465.47848716,74.46630859375,1196805,NA
Kyrgyz Republic,54,8271106196.04253,3.3,99.8,31.07003738,32.22486594,44.8398284912109,2018638,NA
Lao PDR,165,18141651381.3884,2.619,NA,28.02030704,22.19453928,15.2278118133545,2247424,NA
Latvia,23,34429023435.0205,1.6,NA,441.9121346,657.76699444,111.845207214355,627178,3.3015
Lebanon,18,54901519155.6219,2.148,NA,392.92870861,344.54841174,54.2573318481445,1969938,2.1038
Lesotho,599,2556247155.56945,3.139,86.6,17.93459807,58.31049059,11.7330904006958,677108,0.4734
Liberia,684,3422754800,4.336,NA,34.0532896,11.26357128,NA,1348112,0.051
Libya,69,76686048499.3527,2.581,NA,NA,NA,NA,2068957,NA
Liechtenstein,NA,6692618410.5125,1.58,NA,NA,NA,27.0740394592285,12943,NA
Lithuania,8,53751411409.4437,1.63,100,420.86381047,824.25903927,85.7025527954102,923947,4.5982
Luxembourg,7,71000359760.4599,1.38,NA,851.02742652,5288.11180257,20.6177406311035,206751,NA
"Macao SAR, China",NA,55284309690.2698,1.104,NA,NA,NA,83.6905822753906,266065,NA
Madagascar,423,13760033282.6071,4.043,46.1,7.71751957,7.70671249,5.24006986618042,7585551,0.1991
Malawi,392,9880675785.93057,4.14,NA,6.7008842,9.03685351,1.27301049232483,4994038,0.1521
Malaysia,22,358788833524.945,1.881,99.6,202.92738372,213.39262372,49.9084548950195,10929916,1.9398
Maldives,49,5300949822.99805,1.784,NA,173.33637099,622.04568694,NA,145650,1.7084
Mali,440,17070867577.6666,6.183,67.3,10.91941152,9.85823548,3.18520665168762,4868328,0.1286
Malta,4,15298004130.4975,1.23,99.7,1005.19363195,1747.86846899,65.7984237670898,155077,NA
Marshall Islands,NA,219330300,2.877,NA,39.57469678,354.69584031,NA,13855,NA
Mauritania,461,7473550557.07378,4.607,NA,30.47629053,23.18347255,3.40883994102478,1197316,0.1865
Mauritius,50,14735695930.9727,1.41,99.8,356.89265451,282.231918,47.4791297912598,449312,1.89
Mexico,56,1222405556421.13,1.996,NA,267.2961897,263.35166736,42.5822601318359,42190032,2.4248
"Micronesia, Fed. Sts.",69,401932300,2.84,NA,10.17971892,111.14366847,NA,34666,NA
Moldova,14,11253727815.4762,1.809,99.7,112.68105184,156.27829497,59.8716506958008,947698,NA
Monaco,NA,7194256778.2745,NA,NA,443.25512615,2658.09922758,NA,9735,NA
Mongolia,42,13178094719.8612,2.923,99.3,57.63629228,92.0482432,70.3565444946289,1035782,3.8518
Montenegro,5,5506944403.30196,1.76,98.8,294.18568166,433.09112075,63.9123916625977,208294,2.7557
Morocco,78,127341141871.205,2.415,86.6,104.51275395,70.44567923,35.1137084960938,11766121,NA
Mozambique,160,14845400592.6712,4.852,NA,6.25596722,9.11716322,6.71208000183105,8051051,0.0838
Myanmar,215,67144726167.9294,2.213,NA,46.15748274,8.95329839,24.3937091827393,17999213,0.677
Namibia,218,13682019171.6627,3.462,NA,230.80544554,220.09914492,32.9546089172363,746921,0.5902
Nauru,NA,130995580.092154,3.67,NA,35.0659302,1035.53488493,NA,3487,NA
Nepal,201,33111525182.7133,2.104,NA,31.69856829,11.87744474,13.4809598922729,9651645,0.7486
Netherlands,4,914043438179.591,1.59,NA,1825.48304527,3503.80293066,88.6447677612305,5574186,3.7092
New Caledonia,NA,9896402295.48329,2.06,NA,NA,NA,NA,91043,NA
New Zealand,8,211886686924.483,1.71,96.4,996.29362046,2961.71051721,97.6879425048828,1621621,3.4205
Nicaragua,74,13025266513.3167,2.404,NA,58.82006533,102.61599609,21.4665660858154,2147861,1.6645
Niger,432,12808661487.4035,7.023,NA,16.51080062,10.02233736,2.49356007575989,5377669,0.0162
Nigeria,1135,421739210176.152,5.447,43.3,50.41536473,10.57700424,9.90581893920898,52199874,0.3806
North Macedonia,3,12683068033.1043,1.42,99.9,161.99440789,225.46480965,47.2613410949707,714471,NA
Northern Mariana Islands,NA,1301000000,NA,NA,NA,NA,NA,16340,NA
Norway,2,439788625883.8,1.56,99.2,1182.58637909,7089.27213796,102.747032165527,1691080,4.834
Oman,16,91505851755.5267,2.883,98.6,86.75488693,552.56997647,57.4878082275391,1051938,2.0031
Pakistan,178,356128167702.894,3.685,69.3,24.83738845,13.70200224,7.71043062210083,63107299,0.9801
Palau,NA,284900000,NA,100,697.04305578,1046.83263679,NA,5851,NA
